"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","56.20000000000","STRING","Sumter","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","73.90000000000","STRING","Monroe","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","62.40000000000","STRING","Washington","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","47.50000000000","STRING","Marin","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","-1.40000000000","STRING","Yukon-Koyukuk","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","62.40000000000","STRING","Henry","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","52.70000000000","STRING","Etowah","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","53.50000000000","STRING","Fayette","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","56.90000000000","STRING","Chilton","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","49.10000000000","STRING","Howard","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","43.90000000000","STRING","Benton","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","23.40000000000","STRING","Teller","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","36.80000000000","STRING","Nevada","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","61.30000000000","STRING","Appling","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","47.90000000000","STRING","Sutter","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","61.80000000000","STRING","Baldwin","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","54.80000000000","STRING","Banks","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","72.60000000000","STRING","Martin","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","47.10000000000","STRING","Independence","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","44.00000000000","STRING","Cochise","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","43.40000000000","STRING","Mohave","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","48.00000000000","STRING","Faulkner","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","40.20000000000","STRING","Shasta","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","71.40000000000","STRING","Hendry","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","62.50000000000","STRING","Brooks","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","51.90000000000","STRING","Arkansas","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","48.70000000000","STRING","Perry","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","32.30000000000","STRING","Broomfield","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","-6.20000000000","STRING","Northwest Arctic","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","66.10000000000","STRING","Clay","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","59.60000000000","STRING","Butler","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","53.00000000000","STRING","La Paz","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","73.50000000000","STRING","Miami-Dade","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","42.30000000000","STRING","Lake","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","17.60000000000","STRING","Summit","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","62.00000000000","STRING","Baker","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","50.90000000000","STRING","Limestone","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","69.10000000000","STRING","Sarasota","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","22.70000000000","STRING","Ouray","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","69.20000000000","STRING","DeSoto","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","70.80000000000","STRING","Glades","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","37.90000000000","STRING","Huntingdon","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","39.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","23.30000000000","STRING","Dewey","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","54.40000000000","STRING","Harrison","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","56.70000000000","STRING","Horry","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","20.10000000000","STRING","Walworth","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","52.60000000000","STRING","Somervell","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","45.90000000000","STRING","Okfuskee","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","24.90000000000","STRING","Ziebach","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","46.40000000000","STRING","Foard","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","22.50000000000","STRING","Sheridan","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","12.30000000000","STRING","Sublette","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","39.20000000000","STRING","Chester","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","35.90000000000","STRING","King","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","49.70000000000","STRING","Roane","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","19.40000000000","STRING","Aurora","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","47.80000000000","STRING","Pontotoc","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","47.80000000000","STRING","Martin","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","44.10000000000","STRING","Greer","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","58.60000000000","STRING","Frio","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","59.30000000000","STRING","Zavala","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","50.00000000000","STRING","Meigs","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","59.80000000000","STRING","Charleston","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","55.60000000000","STRING","Lee","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","53.40000000000","STRING","Bell","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","45.60000000000","STRING","Alexandria","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","46.60000000000","STRING","Goochland","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","48.60000000000","STRING","Henry","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","37.70000000000","STRING","Beaver","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","33.60000000000","STRING","Adams","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","44.80000000000","STRING","Falls Church","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","21.50000000000","STRING","Sully","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","27.40000000000","STRING","Wallowa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","16.50000000000","STRING","McLean","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","36.60000000000","STRING","Mahoning","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","42.40000000000","STRING","Pike","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","36.50000000000","STRING","Kiowa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","51.20000000000","STRING","Whitfield","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","18.00000000000","STRING","Le Sueur","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","56.30000000000","STRING","Bienville","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","58.90000000000","STRING","Screven","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","56.00000000000","STRING","Caldwell","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","32.00000000000","STRING","Henry","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","59.30000000000","STRING","Wilcox","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","43.50000000000","STRING","Hamilton","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","45.10000000000","STRING","Pulaski","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","40.90000000000","STRING","Bartholomew","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","55.20000000000","STRING","Caddo","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","36.00000000000","STRING","Adams","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","49.00000000000","STRING","Union","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","56.10000000000","STRING","Wilkes","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
